File,RMSE
15o26002,1.694103
15o26005,4.015468
15o26008,4.868601
15o26014,6.048275
15o26017,4.583087
15o26020,4.748157
15o26023,3.955223
15o26031,3.531322
15o29002,4.231758
15o29009,5.449462
15o29012,4.211189
15o29015,3.23579
15o29021,3.323086
15o29024,1.893155
15o29027,2.487123
15o20002,3.969577
15o20005,5.523429
15o20010,5.617165
15o20015,6.312641
15o21003,3.712044
15o21008,6.40012
15o22002,3.253079
15o22008,1.873395
15n10002,3.789751
15n10006,8.652915
15n10009,3.582553
15n10012,2.553776
15n23002,5.634099
15n23005,5.770735
15n23008,4.298494
15n23011,8.01794
15n23014,6.848618
15n23019,6.011938
15n23022,4.025306
