File,RMSE
15o26002,1.674437
15o26005,2.058404
15o26008,3.682703
15o26014,4.630682
15o26017,4.414558
15o26020,4.414558
15o26023,4.071698
15o26031,3.582021
15o29002,4.398508
15o29009,4.408832
15o29012,4.388576
15o29015,3.640398
15o29021,3.468504
15o29024,2.176795
15o29027,2.833169
15o20002,3.227962
15o20005,3.227962
15o20010,5.653826
15o20015,5.955529
15o21003,3.850289
15o21008,4.952835
15o22002,3.310607
15o22008,1.808327
15n10002,4.432674
15n10006,4.585817
15n10009,4.151161
15n10012,2.866166
15n23002,3.10288
15n23005,5.71319
15n23008,4.527021
15n23011,5.419823
15n23014,6.607307
15n23019,5.205712
15n23022,3.851496
