File,RMSE
15o26002,1.70654
15o26005,4.015469
15o26008,4.869183
15o26014,6.05862
15o26017,4.594215
15o26020,4.750065
15o26023,3.957575
15o26031,3.531509
15o29002,4.233684
15o29009,5.461262
15o29012,4.235847
15o29015,3.240669
15o29021,3.338674
15o29024,1.89932
15o29027,2.493259
15o20002,3.979066
15o20005,5.531443
15o20010,5.620942
15o20015,6.312793
15o21003,3.712704
15o21008,6.404588
15o22002,3.255364
15o22008,1.892376
15n10002,3.795743
15n10006,8.662159
15n10009,3.584695
15n10012,2.558793
15n23002,5.647555
15n23005,5.775652
15n23008,4.299367
15n23011,8.018553
15n23014,6.848993
15n23019,6.015786
15n23022,4.029073
