File,RMSE
15o27002,1.164019
15o27005,1.771863
15o27010,0.98085
15o27018,0.98963
15o27025,1.421175
15o27028,1.417383
15o27031,1.119216
15o28006,1.876838
15o28009,1.907899
15o28012,1.456694
15n03002,3.916501
15n03005,3.831771
15n03008,4.458941
15n03011,4.295974
15n03014,1.898975
15n03017,1.01842
15n03028,1.380284
15n04002,1.965549
15n04009,1.255459
15n04014,1.826121
15n04017,3.388886
15n04020,3.568428
15n04023,1.962213
15n04026,4.269479
15n04029,2.607914
15n09002,1.366519
15n09005,1.586562
15n20005,1.077666
15n20008,1.19222
15n20012,1.45003
15n24005,2.064924
15n24010,2.550427
15n24013,1.555935
