File,RMSE
15o26002,1.643916
15o26005,3.368858
15o26008,4.072716
15o26014,5.354422
15o26017,4.026389
15o26020,4.189207
15o26023,3.660861
15o26031,3.180281
15o29002,4.161385
15o29009,4.692586
15o29012,3.758496
15o29015,3.167599
15o29021,3.071478
15o29024,1.871161
15o29027,2.478602
15o20002,2.934353
15o20005,5.031944
15o20010,5.495296
15o20015,6.052993
15o21003,3.483482
15o21008,6.40012
15o22002,2.964847
15o22008,1.785348
15n10002,3.789751
15n10006,8.042322
15n10009,3.582553
15n10012,2.548052
15n23002,5.043569
15n23005,5.310874
15n23008,3.86451
15n23011,6.92181
15n23014,5.862324
15n23019,4.954464
15n23022,3.426545
