File,RMSE
15o27002,1.163244
15o27005,1.779446
15o27010,0.980838
15o27018,0.992125
15o27025,1.42193
15o27028,1.416748
15o27031,1.118779
15o28006,1.883207
15o28009,1.906959
15o28012,1.461598
15n03002,3.9198210000000002
15n03005,3.848271
15n03008,4.459998
15n03011,4.293965
15n03014,1.89969
15n03017,1.011411
15n03028,1.367022
15n04002,1.960718
15n04009,1.250367
15n04014,1.827467
15n04017,3.395405
15n04020,3.567382
15n04023,1.963075
15n04026,4.266401
15n04029,2.610281
15n09002,1.370859
15n09005,1.588803
15n20005,1.074428
15n20008,1.187437
15n20012,1.45687
15n24005,2.062805
15n24010,2.55401
15n24013,1.554597
