File,RMSE
15o27002,1.324757
15o27005,2.263344
15o27010,1.325563
15o27018,1.289873
15o27025,1.935113
15o27028,1.64085
15o27031,1.717749
15o28006,2.662286
15o28009,2.251296
15o28012,1.689282
15n03002,4.300352
15n03005,4.097506
15n03008,5.214294
15n03011,4.686567
15n03014,2.182834
15n03017,1.19796
15n03028,1.601783
15n04002,2.17384
15n04009,1.445044
15n04014,2.468274
15n04017,3.610938
15n04020,3.904657
15n04023,2.177876
15n04026,4.409145
15n04029,2.977421
15n09002,1.55263
15n09005,1.977842
15n20005,1.503526
15n20008,1.546061
15n20012,1.824569
15n24005,2.679973
15n24010,2.829172
15n24013,1.693297
