File,RMSE
15o26003,0.171834
15o26006,0.323127
15o26009,0.444624
15o26015,0.686903
15o26018,0.500026
15o26021,0.353486
15o26024,0.415347
15o26032,0.457477
15o29003,0.302494
15o29010,0.4014
15o29013,0.539014
15o29016,0.214073
15o29022,0.383082
15o29025,0.216832
15o29028,0.346723
15o20003,0.381064
15o20006,0.273145
15o20011,0.364805
15o20016,0.348906
15o21004,0.240674
15o21009,0.53723
15o22003,0.198397
15o22006,0.251744
15o22009,0.154312
15n10003,0.344153
15n10007,0.593511
15n10010,0.29971
15n10013,0.198023
15n23003,0.455451
15n23006,0.388301
15n23009,0.304782
15n23012,0.57094
15n23015,0.501416
15n23020,0.333552
15n23023,0.346194
