File,RMSE
15o26002,1.988201
15o26005,3.475412
15o26008,4.40605
15o26014,5.949955
15o26017,4.188531
15o26020,4.977423
15o26023,3.999608
15o26031,3.782278
15o29002,4.606697
15o29009,4.793728
15o29012,4.141947
15o29015,3.815894
15o29021,3.408139
15o29024,2.212977
15o29027,3.081663
15o20002,3.366624
15o20005,7.322115
15o20010,5.514156
15o20015,6.524901
15o21003,3.678831
15o21008,6.428063
15o22002,3.427761
15o22008,2.006193
15n10002,4.168588
15n10006,8.352918
15n10009,3.925289
15n10012,2.897356
15n23002,5.166029
15n23005,6.189961
15n23008,4.509118
15n23011,7.59599
15n23014,6.445553
15n23019,5.012115
15n23022,4.029073
