File,RMSE
15o27002,1.383032
15o27005,1.46349
15o27010,1.181305
15o27018,1.155914
15o27025,1.608511
15o27028,1.607063
15o27031,1.305385
15o28006,1.340753
15o28009,2.301537
15o28012,1.642884
15n03002,1.862046
15n03005,4.612429
15n03008,4.764647
15n03011,5.223505
15n03014,1.934039
15n03017,1.073112
15n03028,1.093726
15n04002,1.710139
15n04009,1.401195
15n04014,1.897064
15n04017,2.375376
15n04020,3.918426
15n04023,2.30155
15n04026,5.045527
15n04029,3.217549
15n09002,1.391805
15n09005,1.391805
15n20005,1.21887
15n20008,1.362205
15n20012,1.636699
15n24005,2.094181
15n24010,2.899357
15n24013,1.648265
