File,RMSE
15o27002,1.149897
15o27005,1.741435
15o27010,0.975053
15o27018,0.983495
15o27025,1.415543
15o27028,1.409641
15o27031,1.096331
15o28006,1.876814
15o28009,1.903231
15o28012,1.454791
15n03002,3.912692
15n03005,3.83118
15n03008,4.458106
15n03011,4.283992
15n03014,1.759646
15n03017,0.940465
15n03028,1.349269
15n04002,1.949159
15n04009,1.232672
15n04014,1.823304
15n04017,3.388039
15n04020,3.567063
15n04023,1.958417
15n04026,4.265707
15n04029,2.607566
15n09002,1.290334
15n09005,1.586335
15n20005,1.050382
15n20008,1.185287
15n20012,1.449336
15n24005,2.056003
15n24010,2.548371
15n24013,1.497396
