File,RMSE
15o26002,1.735624
15o26005,3.996986
15o26008,4.867309
15o26014,6.055535
15o26017,4.627892
15o26020,4.73091
15o26023,3.955347
15o26031,3.531322
15o29002,4.23361
15o29009,5.482739
15o29012,4.234793
15o29015,3.23924
15o29021,3.342603
15o29024,1.906451
15o29027,2.514712
15o20002,4.002242
15o20005,5.09006
15o20010,5.65897
15o20015,6.181684
15o21003,3.712044
15o21008,6.409894
15o22002,2.991002
15o22008,1.83934
15n10002,3.836028
15n10006,8.661042
15n10009,3.589889
15n10012,2.548052
15n23002,5.649789
15n23005,5.729671
15n23008,4.264597
15n23011,7.596117
15n23014,6.791515
15n23019,5.21135
15n23022,4.025306
