File,RMSE
15o27002,1.118784
15o27005,1.762583
15o27010,0.967014
15o27018,0.979877
15o27025,1.402943
15o27028,1.406156
15o27031,1.091675
15o28006,1.876815
15o28009,1.903206
15o28012,1.454793
15n03002,3.912671
15n03005,3.83118
15n03008,4.458107
15n03011,4.282921
15n03014,1.757089
15n03017,0.93872
15n03028,1.335653
15n04002,1.943626
15n04009,1.228719
15n04014,1.823307
15n04017,3.38804
15n04020,3.567063
15n04023,1.958843
15n04026,4.243408
15n04029,2.60696
15n09002,1.269992
15n09005,1.586179
15n20005,1.069294
15n20008,1.183516
15n20012,1.449293
15n24005,2.055461
15n24010,2.548372
15n24013,1.493693
