File,RMSE
15o26002,1.708019
15o26005,3.881649
15o26008,4.285752
15o26014,5.562959
15o26017,4.102038
15o26020,3.948049
15o26023,3.802185
15o26031,3.27162
15o29002,4.27254
15o29009,4.68191
15o29012,3.695505
15o29015,3.231677
15o29021,3.126098
15o29024,1.911263
15o29027,2.574372
15o20002,3.077927
15o20005,5.341085
15o20010,5.659691
15o20015,6.226973
15o21003,3.72601
15o21008,6.490078
15o22002,3.021455
15o22008,1.88753
15n10002,3.877787
15n10006,8.826251
15n10009,3.653283
15n10012,2.589235
15n23002,5.037561
15n23005,5.803817
15n23008,4.350768
15n23011,6.885026
15n23014,6.371738
15n23019,5.158294
15n23022,3.648765
