File,RMSE
15o26002,1.735624
15o26005,4.015468
15o26008,4.868601
15o26014,6.055535
15o26017,4.627892
15o26020,4.748161
15o26023,3.955347
15o26031,3.531322
15o29002,4.23361
15o29009,5.482739
15o29012,4.234793
15o29015,3.250691
15o29021,3.342603
15o29024,1.906526
15o29027,2.514712
15o20002,4.002242
15o20005,5.523428
15o20010,5.661231
15o20015,6.312641
15o21003,3.712044
15o21008,6.409894
15o22002,3.253074
15o22008,1.902386
15n10002,3.836028
15n10006,8.661042
15n10009,3.589889
15n10012,2.558489
15n23002,5.649789
15n23005,5.770739
15n23008,4.298488
15n23011,8.01794
15n23014,6.848618
15n23019,6.011933
15n23022,4.025305
