File,RMSE
15o26002,1.694104
15o26005,3.996983
15o26008,4.867309
15o26014,6.048275
15o26017,4.582396
15o26020,4.730911
15o26023,3.955348
15o26031,3.531322
15o29002,4.232522
15o29009,5.449462
15o29012,4.211189
15o29015,3.222401
15o29021,3.323085
15o29024,1.893155
15o29027,2.487123
15o20002,3.969577
15o20005,5.09006
15o20010,5.577589
15o20015,6.181684
15o21003,3.712044
15o21008,6.40012
15o22002,2.991002
15o22008,1.78629
15n10002,3.789751
15n10006,8.652912
15n10009,3.582553
15n10012,2.548052
15n23002,5.634099
15n23005,5.729671
15n23008,4.264596
15n23011,7.596119
15n23014,6.791515
15n23019,5.21135
15n23022,4.025312
