File,RMSE
15o26002,1.824723
15o26005,3.444549
15o26008,4.41906
15o26014,5.757012
15o26017,4.158802
15o26020,4.53975
15o26023,3.952083
15o26031,3.5565
15o29002,4.306057
15o29009,4.738341
15o29012,3.873158
15o29015,3.482026
15o29021,3.161498
15o29024,2.133115
15o29027,2.753715
15o20002,3.034356
15o20005,5.398705
15o20010,5.639424
15o20015,6.305413
15o21003,3.485451
15o21008,6.551393
15o22002,3.228443
15o22008,1.774126
15n10002,3.962554
15n10006,8.051102
15n10009,3.778141
15n10012,2.695054
15n23002,5.090205
15n23005,4.880324
15n23008,4.424059
15n23011,7.139298
15n23014,6.002182
15n23019,4.627794
15n23022,3.597292
