File,RMSE
15o27002,1.361368
15o27005,1.947324
15o27010,1.1878
15o27018,1.169165
15o27025,1.705012
15o27028,1.533008
15o27031,1.291748
15o28006,2.491754
15o28009,2.124745
15o28012,1.673336
15n03002,4.234292
15n03005,3.9355
15n03008,5.021871
15n03011,4.640954
15n03014,1.630344
15n03017,1.025003
15n03028,1.48755
15n04002,2.110626
15n04009,1.355638
15n04014,2.140447
15n04017,3.523633
15n04020,3.876412
15n04023,2.06395
15n04026,4.35951
15n04029,2.83475
15n09002,1.310732
15n09005,1.813383
15n20005,1.157384
15n20008,1.350952
15n20012,1.636846
15n24005,2.50354
15n24010,2.738493
15n24013,1.619029
