File,RMSE
15o26002,2.086572
15o26005,3.705936
15o26008,4.300473
15o26014,5.703656
15o26017,4.569272
15o26020,6.955995
15o26023,4.845326
15o26031,3.795456
15o29002,4.594401
15o29009,4.861067
15o29012,4.238472
15o29015,3.796833
15o29021,3.397023
15o29024,2.249538
15o29027,2.949496
15o20002,3.53338
15o20005,5.726922
15o20010,5.886403
15o20015,6.926753
15o21003,3.631208
15o21008,6.650939
15o22002,3.923673
15o22008,1.995382
15n10002,4.145402
15n10006,8.82253
15n10009,3.893853
15n10012,2.974261
15n23002,5.21565
15n23005,7.39064
15n23008,5.589067
15n23011,8.039528
15n23014,6.191263
15n23019,5.348244
15n23022,3.667647
