time_ms_,trace1,trace2,trace3,trace4,trace5,trace6,trace7,trace8,trace9,trace10,trace11
0,0.147269605326923,0.159100990110058,0.149449070944869,0.166884795888437,0.179961589596113,0.156298820029842,0.164393978039356,0.167818852581842,0.17373454497341,0.179027532902707,0.169375613737518
0.5,0.154742058874166,0.15256259325622,0.154119354411896,0.169375613737518,0.185565929756545,0.171243727124329,0.18400916860087,0.185565929756545,0.193972439997194,0.176225362822491,0.143844730784436
1,0.133258754925841,0.166262091426167,0.170309670430923,0.177782123978167,0.167818852581842,0.166884795888437,0.162525864652545,0.193038383303789,0.168441557044113,0.183697816369735,0.151005832100545
1.5,0.144467435246707,0.130456584845625,0.153185297718491,0.157232876723247,0.165016682501626,0.168752909275248,0.165016682501626,0.172800488280005,0.187745395374491,0.171243727124329,0.148203662020328
2,0.14166526516649,0.136683629468328,0.169375613737518,0.155364763336437,0.164082625808221,0.17311184051114,0.157544228954383,0.170621022662059,0.173423192742275,0.192415678841519,0.146958253095788
2.5,0.133881459388112,0.141353912935355,0.179650237364978,0.17435724943568,0.17373454497341,0.171866431586599,0.168441557044113,0.168441557044113,0.197708666770816,0.155987467798707,0.146958253095788
3,0.135126868312652,0.144778787477842,0.165950739195031,0.15256259325622,0.172177783817734,0.163148569114815,0.169998318199788,0.181829702982924,0.167507500350707,0.181829702982924,0.158478285647788
3.5,0.138863095086274,0.137929038392869,0.154119354411896,0.178093476209302,0.179961589596113,0.159100990110058,0.158789637878923,0.180272941827248,0.188056747605627,0.160035046803464,0.160346399034599
4,0.148515014251463,0.143533378553301,0.157544228954383,0.178716180671572,0.150694479869409,0.17373454497341,0.175914010591356,0.171866431586599,0.180584294058383,0.174668601666815,0.135749572774923
4.5,0.148515014251463,0.135438220543787,0.157232876723247,0.174045897204545,0.172489136048869,0.16283721688368,0.158166933416653,0.179650237364978,0.195840553384005,0.157544228954383,0.143222026322166
5,0.136060925006058,0.141353912935355,0.16221451242141,0.170309670430923,0.155364763336437,0.171866431586599,0.148203662020328,0.182452407445194,0.169998318199788,0.17373454497341,0.147269605326923
5.5,0.137306333930598,0.132636050463571,0.160969103496869,0.177159419515897,0.16345992134595,0.15193988879395,0.161903160190275,0.181206998520653,0.182452407445194,0.160035046803464,0.132013346001301
6,0.127031710303139,0.14166526516649,0.168130204812977,0.15256259325622,0.171555079355464,0.165328034732761,0.160035046803464,0.190236213223573,0.18525457752541,0.175291306129086,0.145090139708977
6.5,0.156298820029842,0.160657751265734,0.158166933416653,0.174045897204545,0.170621022662059,0.165328034732761,0.14041985624195,0.168441557044113,0.175602658360221,0.159723694572329,0.148203662020328
7,0.128277119227679,0.137929038392869,0.146958253095788,0.176848067284761,0.17435724943568,0.180895646289518,0.172800488280005,0.196774610077411,0.188368099836762,0.175914010591356,0.146646900864653
7.5,0.151005832100545,0.146646900864653,0.159100990110058,0.161903160190275,0.168441557044113,0.170309670430923,0.168752909275248,0.182141055214059,0.186188634218816,0.166884795888437,0.148515014251463
8,0.12952252815222,0.148515014251463,0.165950739195031,0.183697816369735,0.169064261506383,0.159412342341193,0.159100990110058,0.187434043143356,0.172800488280005,0.165950739195031,0.137929038392869
8.5,0.135438220543787,0.150071775407139,0.170309670430923,0.158478285647788,0.159412342341193,0.170621022662059,0.158478285647788,0.165328034732761,0.18463187306314,0.159412342341193,0.147580957558058
9,0.150383127638274,0.146024196402382,0.155676115567572,0.177159419515897,0.183386464138599,0.176225362822491,0.152251241025085,0.188368099836762,0.201756245775573,0.16221451242141,0.150071775407139
9.5,0.144778787477842,0.143533378553301,0.159412342341193,0.169375613737518,0.172177783817734,0.172489136048869,0.141976617397625,0.172177783817734,0.185877281987681,0.176848067284761,0.142910674091031
10,0.135438220543787,0.153808002180761,0.167818852581842,0.161903160190275,0.167818852581842,0.170621022662059,0.158789637878923,0.174668601666815,0.176848067284761,0.169375613737518,0.151005832100545
10.5,0.134192811619247,0.157855581185518,0.161280455728004,0.17311184051114,0.172800488280005,0.179650237364978,0.156298820029842,0.174979953897951,0.174045897204545,0.167818852581842,0.142287969628761
11,0.137617686161733,0.147269605326923,0.160657751265734,0.169686965968653,0.168441557044113,0.170932374893194,0.16345992134595,0.179961589596113,0.179027532902707,0.167818852581842,0.144156083015571
11.5,0.129211175921085,0.120804665680436,0.155053411105301,0.175914010591356,0.174045897204545,0.176848067284761,0.16221451242141,0.173423192742275,0.188368099836762,0.175291306129086,0.148203662020328
12,0.132636050463571,0.13014523261449,0.153185297718491,0.175914010591356,0.177470771747032,0.174045897204545,0.160346399034599,0.182763759676329,0.18463187306314,0.162525864652545,0.147580957558058
12.5,0.132013346001301,0.150071775407139,0.160657751265734,0.169998318199788,0.170621022662059,0.158166933416653,0.156921524492112,0.174668601666815,0.176225362822491,0.184320520832005,0.163148569114815
13,0.127654414765409,0.156298820029842,0.170621022662059,0.161280455728004,0.178404828440437,0.155676115567572,0.165950739195031,0.163148569114815,0.183386464138599,0.17373454497341,0.136372277237193
13.5,0.147892309789193,0.145712844171247,0.15193988879395,0.161591807959139,0.165016682501626,0.169064261506383,0.16221451242141,0.176536715053626,0.189613508761302,0.151628536562815,0.142910674091031
14,0.133881459388112,0.137617686161733,0.146958253095788,0.156921524492112,0.156921524492112,0.187122690912221,0.165950739195031,0.178093476209302,0.195217848921735,0.160035046803464,0.137617686161733
14.5,0.120181961218165,0.135126868312652,0.168752909275248,0.174668601666815,0.188056747605627,0.160035046803464,0.165950739195031,0.171555079355464,0.185877281987681,0.178093476209302,0.165639386963896
15,0.121116017911571,0.140731208473085,0.156610172260977,0.171555079355464,0.167818852581842,0.157855581185518,0.172489136048869,0.18400916860087,0.172489136048869,0.178404828440437,0.15193988879395
15.5,0.138863095086274,0.144156083015571,0.149137718713734,0.158166933416653,0.161591807959139,0.17435724943568,0.155987467798707,0.17435724943568,0.185877281987681,0.168752909275248,0.150383127638274
16,0.139797151779679,0.141976617397625,0.169686965968653,0.150694479869409,0.180895646289518,0.166884795888437,0.168130204812977,0.182763759676329,0.177470771747032,0.171243727124329,0.158789637878923
16.5,0.147580957558058,0.142910674091031,0.150383127638274,0.176848067284761,0.170932374893194,0.166573443657302,0.172177783817734,0.178093476209302,0.174668601666815,0.160035046803464,0.153185297718491
17,0.136372277237193,0.147580957558058,0.165016682501626,0.159412342341193,0.174045897204545,0.156298820029842,0.161903160190275,0.168752909275248,0.194595144459465,0.161903160190275,0.132947402694706
17.5,0.132636050463571,0.147580957558058,0.159100990110058,0.182141055214059,0.151005832100545,0.161591807959139,0.162525864652545,0.181206998520653,0.194595144459465,0.164082625808221,0.160035046803464
18,0.129211175921085,0.15131718433168,0.146958253095788,0.166262091426167,0.154742058874166,0.168752909275248,0.179027532902707,0.189924860992437,0.179338885133843,0.187434043143356,0.147892309789193
18.5,0.139485799548544,0.14166526516649,0.166884795888437,0.177159419515897,0.160969103496869,0.161280455728004,0.163148569114815,0.177159419515897,0.188990804299032,0.169064261506383,0.161280455728004
19,0.143533378553301,0.148515014251463,0.153808002180761,0.163148569114815,0.165016682501626,0.16283721688368,0.179961589596113,0.178716180671572,0.193972439997194,0.186188634218816,0.146958253095788
19.5,0.123606835760652,0.140731208473085,0.156298820029842,0.152873945487355,0.171555079355464,0.177470771747032,0.181206998520653,0.176225362822491,0.188990804299032,0.160657751265734,0.160657751265734
20,0.136060925006058,0.137929038392869,0.160969103496869,0.165328034732761,0.165950739195031,0.164705330270491,0.174979953897951,0.181518350751789,0.172177783817734,0.161591807959139,0.158166933416653
20.5,0.146335548633517,0.150071775407139,0.145090139708977,0.159412342341193,0.179338885133843,0.185565929756545,0.165328034732761,0.166884795888437,0.184943225294275,0.170932374893194,0.153185297718491
21,0.128588471458814,0.147269605326923,0.163771273577085,0.170309670430923,0.175291306129086,0.173423192742275,0.161280455728004,0.174979953897951,0.186188634218816,0.177159419515897,0.148203662020328
21.5,0.132947402694706,0.157544228954383,0.145712844171247,0.160346399034599,0.168441557044113,0.164705330270491,0.171243727124329,0.194595144459465,0.189924860992437,0.174668601666815,0.15256259325622
22,0.125786301378598,0.148203662020328,0.161903160190275,0.157855581185518,0.169064261506383,0.169064261506383,0.161591807959139,0.166262091426167,0.181206998520653,0.160969103496869,0.140731208473085
22.5,0.103368940736868,0.138863095086274,0.149760423176004,0.172177783817734,0.168130204812977,0.166884795888437,0.168752909275248,0.171555079355464,0.190236213223573,0.170309670430923,0.157544228954383
23,0.125786301378598,0.143533378553301,0.153185297718491,0.191481622148113,0.181829702982924,0.16283721688368,0.168752909275248,0.179650237364978,0.189302156530167,0.178716180671572,0.155676115567572
23.5,0.134192811619247,0.146646900864653,0.175291306129086,0.150694479869409,0.166262091426167,0.157855581185518,0.154119354411896,0.17435724943568,0.180272941827248,0.161903160190275,0.143222026322166
24,0.150694479869409,0.164082625808221,0.144778787477842,0.165639386963896,0.172489136048869,0.182763759676329,0.169064261506383,0.182763759676329,0.190858917685843,0.150383127638274,0.169686965968653
24.5,0.130456584845625,0.152251241025085,0.165016682501626,0.177782123978167,0.166262091426167,0.178404828440437,0.170621022662059,0.178404828440437,0.202690302468978,0.166262091426167,0.165639386963896
25,0.134504163850382,0.140731208473085,0.156298820029842,0.166884795888437,0.188990804299032,0.158166933416653,0.168130204812977,0.171243727124329,0.188368099836762,0.169375613737518,0.159412342341193
25.5,0.130456584845625,0.139797151779679,0.142599321859896,0.160035046803464,0.160657751265734,0.167818852581842,0.160035046803464,0.190236213223573,0.175602658360221,0.161903160190275,0.150694479869409
26,0.123918187991787,0.147269605326923,0.170621022662059,0.164705330270491,0.191481622148113,0.159100990110058,0.179961589596113,0.163148569114815,0.180272941827248,0.16283721688368,0.148203662020328
26.5,0.139174447317409,0.130456584845625,0.152251241025085,0.162525864652545,0.169375613737518,0.18525457752541,0.168752909275248,0.17373454497341,0.193038383303789,0.171555079355464,0.165950739195031
27,0.134504163850382,0.139797151779679,0.165016682501626,0.152873945487355,0.166573443657302,0.17435724943568,0.15193988879395,0.179650237364978,0.187745395374491,0.167196148119572,0.158478285647788
27.5,0.137929038392869,0.133570107156977,0.143533378553301,0.172489136048869,0.179027532902707,0.172177783817734,0.159412342341193,0.173423192742275,0.191170269916978,0.165328034732761,0.154119354411896
28,0.141976617397625,0.126097653609733,0.155676115567572,0.165639386963896,0.170309670430923,0.181518350751789,0.165639386963896,0.172800488280005,0.171866431586599,0.168441557044113,0.160346399034599
28.5,0.139485799548544,0.148203662020328,0.156921524492112,0.179650237364978,0.179338885133843,0.179338885133843,0.174045897204545,0.169686965968653,0.199576780157627,0.156921524492112,0.141976617397625
29,0.149449070944869,0.154742058874166,0.147892309789193,0.170309670430923,0.165950739195031,0.159100990110058,0.175914010591356,0.171243727124329,0.190236213223573,0.175914010591356,0.155053411105301
29.5,0.134504163850382,0.151005832100545,0.153496649949626,0.166573443657302,0.173423192742275,0.192104326610383,0.169064261506383,0.17373454497341,0.193038383303789,0.180584294058383,0.139485799548544
30,0.129833880383355,0.141976617397625,0.159100990110058,0.159100990110058,0.179961589596113,0.160035046803464,0.165328034732761,0.183386464138599,0.184320520832005,0.164705330270491,0.153808002180761
30.5,0.13014523261449,0.144778787477842,0.148826366482599,0.157855581185518,0.191170269916978,0.182141055214059,0.163771273577085,0.17311184051114,0.165328034732761,0.17435724943568,0.157544228954383
31,0.145712844171247,0.154119354411896,0.151005832100545,0.171866431586599,0.158166933416653,0.166884795888437,0.178716180671572,0.172800488280005,0.197397314539681,0.149449070944869,0.152873945487355
31.5,0.139174447317409,0.133881459388112,0.165639386963896,0.163771273577085,0.168130204812977,0.168752909275248,0.169998318199788,0.172177783817734,0.193038383303789,0.155987467798707,0.156298820029842
32,0.144778787477842,0.143533378553301,0.146335548633517,0.170932374893194,0.159723694572329,0.175602658360221,0.164705330270491,0.168441557044113,0.182141055214059,0.155364763336437,0.159100990110058
32.5,0.13076793707676,0.151628536562815,0.143533378553301,0.15256259325622,0.177782123978167,0.175291306129086,0.180272941827248,0.18400916860087,0.187122690912221,0.151628536562815,0.133570107156977
33,0.145401491940112,0.16283721688368,0.154430706643031,0.171243727124329,0.177782123978167,0.165639386963896,0.166884795888437,0.160346399034599,0.177782123978167,0.168441557044113,0.160969103496869
33.5,0.142910674091031,0.144778787477842,0.164393978039356,0.17373454497341,0.168441557044113,0.161280455728004,0.165950739195031,0.173423192742275,0.186811338681086,0.155676115567572,0.157855581185518
34,0.131390641539031,0.144156083015571,0.148203662020328,0.16345992134595,0.172489136048869,0.173423192742275,0.160969103496869,0.154742058874166,0.175602658360221,0.167818852581842,0.138240390624004
34.5,0.142910674091031,0.133881459388112,0.160969103496869,0.175602658360221,0.174668601666815,0.157232876723247,0.169686965968653,0.171866431586599,0.188990804299032,0.157232876723247,0.164393978039356
35,0.149760423176004,0.151628536562815,0.155987467798707,0.187745395374491,0.170621022662059,0.151628536562815,0.180895646289518,0.182763759676329,0.181829702982924,0.176536715053626,0.153808002180761
