Group,param,value
WT,3,71.32648557988624
WT,3,68.89607995023239
WT,3,99.8812601117683
WT,3,3.567415524004994
WT,3,0.049196816166768
WT,3,69.43109392805556
WT,3,73.90781317924211
WT,3,56.56556438148879
WT,3,65.6373195707097
WT,3,63.06270659713464
WT,3,0.13803715049822998
WT,3,0.2569804404276388
WT,3,99.99285563737278
WT,3,7.8917651491024055
WT,3,0.03327393444185151
WT,3,37.97708055918461
WT,3,0.09170495368326786
WT,3,50.91682609239525
WT,3,49.76212944343055
WT,3,5.609197079479363
WT,3,99.95440479790066
WT,3,73.01562588314877
WT,3,51.29821549873125
WT,3,53.212227569875736
WT,3,59.115996499212876
WT,3,16.619313225989313
WT,3,0.03526695745339445
WT,3,59.9881149163794
WT,3,19.293040687756882
WT,3,60.208527471701764
WT,3,52.32961960638458
WT,3,44.768622483528326
WT,3,55.945231349656446
WT,3,48.027259323028254
Mgat1KO,3,0.24076174887137217
Mgat1KO,3,8.452424867189203
Mgat1KO,3,99.96119512282868
Mgat1KO,3,59.07885335159114
Mgat1KO,3,99.92831460008139
Mgat1KO,3,42.668229938174264
Mgat1KO,3,90.41002131264842
Mgat1KO,3,74.72605803848835
Mgat1KO,3,31.824190291653498
Mgat1KO,3,6.569180378691393
Mgat1KO,3,99.80643304606542
Mgat1KO,3,98.09609937267328
Mgat1KO,3,33.76032875439369
Mgat1KO,3,4.5128890494555876
Mgat1KO,3,0.03247435120039142
Mgat1KO,3,99.95963752807367
Mgat1KO,3,99.71233429824139
Mgat1KO,3,99.88585484473592
Mgat1KO,3,99.89447904461322
Mgat1KO,3,99.78457841324943
Mgat1KO,3,7.711015441647855
Mgat1KO,3,0.04240809254045893
Mgat1KO,3,39.210081494880626
Mgat1KO,3,99.91756038405137
Mgat1KO,3,97.97448635775761
Mgat1KO,3,99.91055923476205
Mgat1KO,3,99.93498831598843
Mgat1KO,3,99.95408562388036
Mgat1KO,3,70.3642376651752
Mgat1KO,3,94.9247143648522
Mgat1KO,3,0.007866366418438187
Mgat1KO,3,53.080414666068805
Mgat1KO,3,99.9643383684048
WT,4,0.01674558965446135
WT,4,0.011933826677285334
WT,4,0.02652916140206947
WT,4,0.015210957476796901
WT,4,0.02385217933757712
WT,4,0.01890140809138032
WT,4,0.019354032298720854
WT,4,6.0758062083181264e-05
WT,4,0.022125342040389545
WT,4,0.019427746040632077
WT,4,0.016112081064375908
WT,4,0.02187941223956009
WT,4,0.015098483587835844
WT,4,0.007959444901026227
WT,4,0.04852705974886994
WT,4,0.02296591419587723
WT,4,0.03505184379901634
WT,4,2.783192092015937e-05
WT,4,0.02015455498555096
WT,4,0.002664899604255565
WT,4,0.01564927747389315
WT,4,0.02660188822411754
WT,4,0.009348756384659707
WT,4,2.7000797333590485e-05
WT,4,1.2379036457671906e-05
WT,4,0.029099229121667954
WT,4,0.040282022456956244
WT,4,0.032934992835217884
WT,4,0.03166133337835816
WT,4,0.026762752799746898
WT,4,0.023447571169882546
WT,4,0.024546403418071065
WT,4,0.00966902713819898
WT,4,0.02083619977638523
Mgat1KO,4,0.019329268148290557
Mgat1KO,4,0.034944584390732794
Mgat1KO,4,0.028968537657609733
Mgat1KO,4,5.112080089468963e-06
Mgat1KO,4,0.011939884863460403
Mgat1KO,4,0.018323711460072684
Mgat1KO,4,0.012352747341866805
Mgat1KO,4,0.016899070937055175
Mgat1KO,4,0.0213270291906976
Mgat1KO,4,0.04784943358787408
Mgat1KO,4,0.023622477348596935
Mgat1KO,4,0.011456638561550268
Mgat1KO,4,0.01843544590039405
Mgat1KO,4,0.01207635323937291
Mgat1KO,4,0.0185702215044317
Mgat1KO,4,0.026214164657789505
Mgat1KO,4,0.02068788002405458
Mgat1KO,4,0.019131330794648144
Mgat1KO,4,0.011071832382059896
Mgat1KO,4,0.011002062086933353
Mgat1KO,4,0.01607561117490911
Mgat1KO,4,0.007061688741084767
Mgat1KO,4,0.024700175459724708
Mgat1KO,4,0.012247774165661734
Mgat1KO,4,0.016698758233357716
Mgat1KO,4,0.012995638069068784
Mgat1KO,4,0.014209491127246163
Mgat1KO,4,0.02170653247295542
Mgat1KO,4,0.013353511138034372
Mgat1KO,4,0.011995563306338853
Mgat1KO,4,0.015540095477599714
Mgat1KO,4,0.014271184717917542
Mgat1KO,4,0.011987494394179114
