Group,param,value
Mgat1KO,3,-35.439182680528475
Mgat1KO,3,-15.12535127043065
Mgat1KO,3,-14.741978351774115
Mgat1KO,3,-17.18089021456533
WT,4,9.99719558941468
WT,4,9.999618955402221
WT,4,9.999902486755227
WT,4,9.996504869192135
WT,4,9.999744640874397
WT,4,9.998918995366934
WT,4,9.99389083267723
WT,4,9.995771594168128
WT,4,9.999815508620976
WT,4,9.999668811960142
WT,4,9.999742206261072
WT,4,9.999441769954649
WT,4,9.999988658196102
WT,4,9.999851007723343
WT,4,9.99954143716181
WT,4,9.999602495950164
WT,4,9.999651248391702
WT,4,9.998880896886028
WT,4,9.98897833438066
WT,4,9.997950837965048
WT,4,9.999926634207867
WT,4,9.998039311357532
WT,4,9.999542681483446
WT,4,9.999328909319692
WT,4,9.999557736254946
WT,4,9.997819144645119
WT,4,9.999421450620876
WT,4,9.999369206858994
WT,4,9.999285265391755
WT,4,9.998918655336418
WT,4,9.999791494563057
WT,4,9.99969002786431
WT,4,9.999522614940794
WT,4,9.999579592476639
Mgat1KO,4,9.999942421554474
Mgat1KO,4,9.999279200755387
Mgat1KO,4,9.999932627109825
Mgat1KO,4,9.999852187044263
Mgat1KO,4,9.999492145753921
Mgat1KO,4,9.899438146110157
Mgat1KO,4,9.99973717560436
Mgat1KO,4,9.920475932119224
Mgat1KO,4,9.99992181166859
Mgat1KO,4,9.999930587235198
Mgat1KO,4,9.999917921336072
Mgat1KO,4,9.999756328190486
Mgat1KO,4,9.998095777822389
Mgat1KO,4,9.997257856591956
Mgat1KO,4,9.999792956685152
Mgat1KO,4,9.999779851684886
Mgat1KO,4,9.999656589050602
Mgat1KO,4,9.99980392701139
Mgat1KO,4,9.999839208954391
Mgat1KO,4,9.999869895179776
Mgat1KO,4,9.999983721514482
Mgat1KO,4,9.999917836974817
Mgat1KO,4,9.99976939876771
Mgat1KO,4,9.999605474843968
Mgat1KO,4,9.996886763914098
Mgat1KO,4,9.999891076940429
Mgat1KO,4,9.999811180309628
Mgat1KO,4,9.99991544885903
Mgat1KO,4,9.999863688935491
Mgat1KO,4,9.933586164321765
Mgat1KO,4,9.999841502521505
Mgat1KO,4,9.962553934116142
Mgat1KO,4,9.999964819649254
WT,5,6.88469020626599
WT,5,7.118077697269575
WT,5,0.6533642958919823
WT,5,7.133208351091066
WT,5,6.633494875406379
WT,5,8.182402724692512
WT,5,6.19997859564431
WT,5,8.076210792744613
WT,5,6.80381565680299
WT,5,5.819783533628601
WT,5,0.011927515372089444
WT,5,6.720184239149088
WT,5,0.6669169173229879
WT,5,0.603201337190978
WT,5,6.940272415029046
WT,5,7.014743400383623
WT,5,6.987762773799751
WT,5,6.666337051000828
WT,5,7.305772944029741
WT,5,1.4154960827393077
WT,5,0.7846514160433926
WT,5,7.569280305645473
WT,5,7.04773860761795
WT,5,7.158003858529396
WT,5,6.694627603877196
WT,5,6.311089030530295
WT,5,6.473119087106515
WT,5,6.194913915119953
WT,5,7.276056560930129
WT,5,8.212151085738252
WT,5,7.685597901778486
WT,5,7.479516306703391
WT,5,7.079068952968595
WT,5,8.213929901345761
Mgat1KO,5,0.7330547183095962
Mgat1KO,5,5.973072166274027
Mgat1KO,5,0.8583132652853753
Mgat1KO,5,0.921497803087322
Mgat1KO,5,6.666891594412319
Mgat1KO,5,3.3743454244917035
Mgat1KO,5,7.754994966182225
Mgat1KO,5,2.3489876005807173
Mgat1KO,5,0.2691305949307003
Mgat1KO,5,7.422806151043976
Mgat1KO,5,0.5855093813082726
Mgat1KO,5,5.159300318073377
Mgat1KO,5,5.610511508459207
Mgat1KO,5,3.4839457336141137
Mgat1KO,5,5.969820390751574
Mgat1KO,5,6.689253066264888
Mgat1KO,5,0.8255247135745502
Mgat1KO,5,1.0471144523472606
Mgat1KO,5,6.154453520465826
Mgat1KO,5,4.383876952867417
Mgat1KO,5,6.074462693044685
Mgat1KO,5,0.7999607724538796
Mgat1KO,5,6.628826862419454
Mgat1KO,5,6.284279122371887
Mgat1KO,5,0.04538153834714189
Mgat1KO,5,0.40521688916637294
Mgat1KO,5,6.994588919319555
Mgat1KO,5,0.7418468938506603
Mgat1KO,5,9.082516645853325
Mgat1KO,5,6.508538923615626
Mgat1KO,5,3.0614123743972494
Mgat1KO,5,1.8965631402107297
Mgat1KO,5,0.7276731547496931
WT,8,14.509410165926965
WT,8,12.412536368579392
WT,8,17.75737005611158
WT,8,16.819631975175156
WT,8,18.1236622592901
WT,8,16.858017218107342
WT,8,11.958429223695681
WT,8,19.105234024190104
WT,8,12.776367266923344
WT,8,11.98211503966301
WT,8,12.315513369653592
WT,8,18.090542439364615
WT,8,50.39974556509872
WT,8,60.060958255873935
WT,8,21.337557632749558
WT,8,20.60106107702429
WT,8,18.22148357200872
WT,8,17.093502084085475
WT,8,11.265439770685353
WT,8,23.066551466244178
WT,8,18.15900280521372
WT,8,12.724289892299392
WT,8,19.262630695008927
WT,8,17.40342331962969
WT,8,17.24109042400774
