,Group,file,param,value
120,Mgat1KO,15n20012,3,0.0029460823996076972
121,Mgat1KO,15n24005,3,0.041392518830564294
122,Mgat1KO,15n24010,3,3.959547098813784e-07
123,Mgat1KO,15n24013,3,4.032487495289591e-08
124,Mgat1KO,15o27002,3,0.016839288285075794
125,Mgat1KO,15o27005,3,8.697508152560525e-08
126,Mgat1KO,15o27010,3,0.007585723661142091
127,Mgat1KO,15o27018,3,1.15187511094317e-07
128,Mgat1KO,15o27025,3,0.02296723870834833
129,Mgat1KO,15o27028,3,0.012955310342184084
130,Mgat1KO,15o27031,3,0.018710628942797517
131,Mgat1KO,15o28006,3,0.003178676387996808
132,Mgat1KO,15o28009,3,2.2496206449942214e-05
133,Mgat1KO,15o28012,3,0.004999259155246761
