Group,param,value
WT,1,0.062454568732947364
WT,1,0.041958789116550176
WT,1,0.038158171073961966
WT,1,0.0634581215011477
WT,1,0.05958202627291128
WT,1,0.043890038454965793
WT,1,0.044355111129473136
WT,1,0.04324787060956907
WT,1,0.04456075378983098
WT,1,0.0430358380702744
WT,1,0.04428179888948614
WT,1,0.047679807150700415
WT,1,0.8692051378304926
WT,1,4.467973249730258e-05
WT,1,0.07239010431546473
WT,1,0.06455069929545813
WT,1,0.04954872003985921
WT,1,0.05820331815690978
WT,1,0.07946264962734222
WT,1,0.04920097692247193
WT,1,0.04245774368014832
WT,1,0.04174502194866943
WT,1,0.04528165526788881
WT,1,0.06408716691497798
WT,1,0.043198886437559446
WT,1,0.09761949486609194
WT,1,0.0728991682840832
WT,1,0.04456581572985515
WT,1,0.044035764559980234
WT,1,0.05616588596350314
WT,1,0.05167555989419146
WT,1,0.05500876393591987
WT,1,0.043447757638078725
WT,1,0.06259582653046966
Mgat1KO,1,0.04118891924111464
Mgat1KO,1,0.055699428020744894
Mgat1KO,1,0.039286154412559164
Mgat1KO,1,0.04789620345731277
Mgat1KO,1,0.027320294060629923
Mgat1KO,1,0.039324583232161814
Mgat1KO,1,0.029081508548679764
Mgat1KO,1,0.037197363867896786
Mgat1KO,1,0.041138936071058924
Mgat1KO,1,0.03751664665145873
Mgat1KO,1,0.9776508214799455
Mgat1KO,1,0.0566316209984002
Mgat1KO,1,0.06071508419327546
Mgat1KO,1,0.060735794913680745
Mgat1KO,1,0.04612916971025112
Mgat1KO,1,0.059511315965545236
Mgat1KO,1,0.040398457388520846
Mgat1KO,1,0.04186011364703518
Mgat1KO,1,0.06050592710397934
Mgat1KO,1,0.05766186823162854
Mgat1KO,1,0.03269546628327836
Mgat1KO,1,0.03846045173149818
Mgat1KO,1,0.03689572715940493
Mgat1KO,1,0.02773653649603289
Mgat1KO,1,0.0003473710227330782
Mgat1KO,1,0.03900971440037835
Mgat1KO,1,0.04436966895817038
Mgat1KO,1,0.04788771892018082
Mgat1KO,1,0.058504846085225264
Mgat1KO,1,0.04259188120935264
Mgat1KO,1,0.039627762683888575
Mgat1KO,1,0.04406584967879073
Mgat1KO,1,0.06430233000824027
WT,2,1999.98341740337
WT,2,1999.9971659043695
WT,2,1718.2206165055275
WT,2,1999.8640098789867
WT,2,1999.9940812810955
WT,2,1999.9746518254155
WT,2,1999.99915532557
WT,2,1999.9751929905603
WT,2,1999.9995526195355
WT,2,1999.9990649588124
WT,2,1999.983543431966
WT,2,1999.9993317117849
WT,2,1086.7988336390656
WT,2,169.76359666634033
WT,2,1999.9990220353861
WT,2,1999.9904899554167
WT,2,1999.9925311873737
WT,2,1999.9959566644675
WT,2,1999.9837151572892
WT,2,1999.9992298451855
WT,2,1999.9990789641809
WT,2,1999.9887488334489
WT,2,1999.9967030469916
WT,2,1999.9810245142728
WT,2,1999.9993872247767
WT,2,1999.997084929732
WT,2,1999.9783157540899
WT,2,1999.9965696478885
WT,2,1999.9933917052965
WT,2,1999.982181882619
WT,2,1999.997039068473
WT,2,1999.9994415118153
WT,2,1999.3831579255555
WT,2,1999.9879443948025
Mgat1KO,2,1999.9768134309334
Mgat1KO,2,1999.952986146153
Mgat1KO,2,1997.9221873283539
Mgat1KO,2,1999.898245140921
Mgat1KO,2,598.5279702397489
Mgat1KO,2,1999.9630115255836
Mgat1KO,2,1454.5105177148146
Mgat1KO,2,1642.544906279167
Mgat1KO,2,1999.9796280357616
Mgat1KO,2,1999.993761025371
Mgat1KO,2,1127.781799098224
Mgat1KO,2,1999.952913158205
Mgat1KO,2,1999.930404056078
Mgat1KO,2,1999.807184296672
Mgat1KO,2,1999.9939004506994
Mgat1KO,2,1999.7742020762112
Mgat1KO,2,1999.9875245209157
Mgat1KO,2,1380.6272228898936
Mgat1KO,2,1999.8020215595554
Mgat1KO,2,1999.9517317308034
Mgat1KO,2,1295.7427171404547
Mgat1KO,2,1999.9894876769056
Mgat1KO,2,1681.8585756525083
Mgat1KO,2,931.7952580076907
Mgat1KO,2,1580.290148709001
Mgat1KO,2,1999.8964224212941
Mgat1KO,2,1585.3665708953406
Mgat1KO,2,1999.9267167160206
Mgat1KO,2,1999.9215945295136
Mgat1KO,2,1476.4948844898454
Mgat1KO,2,1999.9752359733661
Mgat1KO,2,1999.930248839239
Mgat1KO,2,1990.742342291494
WT,3,49.95186283632624
WT,3,0.00025667580261942285
WT,3,0.0032948033921827826
WT,3,33.45369141865972
WT,3,91.4593317967724
WT,3,0.007248800715438286
WT,3,2.1170993727481303e-05
WT,3,0.0018898725641394098
WT,3,1.4711587544211465e-05
WT,3,3.726411524119517e-05
WT,3,0.0012055225829329928
WT,3,40.42850028280078
WT,3,14.74661514481165
WT,3,43.36234518568327
WT,3,99.99987384098745
WT,3,99.99975331608032
WT,3,66.069546832478
WT,3,68.52802922912579
WT,3,43.55520391923782
WT,3,34.604319829626576
WT,3,6.689635186877278e-05
